Dictionary_Kanji,Dictionary_Kana,Dictionary_Romaji,Meaning,Form_Name,Conj_Kanji,Conj_Kana,Conj_Romaji,Verb_Class
食べる,たべる,Taberu,To eat,Polite Form,食べます,たべます,Tabemasu,Ichidan
食べる,たべる,Taberu,To eat,Masu Stem,食べ,たべ,Tabe,Ichidan
食べる,たべる,Taberu,To eat,Te-Form,食べて,たべて,Tabete,Ichidan
食べる,たべる,Taberu,To eat,Past Tense (Plain),食べた,たべた,Tabeta,Ichidan
食べる,たべる,Taberu,To eat,Continuous Form,食べている,たべている,Tabeteiru,Ichidan
食べる,たべる,Taberu,To eat,Negative Form,食べない,たべない,Tabenai,Ichidan
食べる,たべる,Taberu,To eat,Past-Negative Form,食べなかった,たべなかった,Tabenakatta,Ichidan
食べる,たべる,Taberu,To eat,Passive Form,食べられる,たべられる,Taberareru,Ichidan
食べる,たべる,Taberu,To eat,Causative Form,食べさせる,たべさせる,Tabesaseru,Ichidan
食べる,たべる,Taberu,To eat,Causative Passive Form,食べさせられる,たべさせられる,Tabesaserareru,Ichidan
食べる,たべる,Taberu,To eat,Imperative Form,食べろ,たべろ,Tabero,Ichidan
食べる,たべる,Taberu,To eat,BA Hypothetical Form,食べれば,たべれば,Tabereba,Ichidan
食べる,たべる,Taberu,To eat,TARA Conditional Form,食べたら,たべたら,Tabetara,Ichidan
食べる,たべる,Taberu,To eat,Potential Form,食べられる,たべられる,Taberareru,Ichidan
食べる,たべる,Taberu,To eat,Volitional Form,食べよう,たべよう,Tabeyou,Ichidan
見る,みる,Miru,To see,Polite Form,見ます,みます,Mimasu,Ichidan
見る,みる,Miru,To see,Masu Stem,見,み,Mi,Ichidan
見る,みる,Miru,To see,Te-Form,見て,みて,Mite,Ichidan
見る,みる,Miru,To see,Past Tense (Plain),見た,みた,Mita,Ichidan
見る,みる,Miru,To see,Continuous Form,見ている,みている,Miteiru,Ichidan
見る,みる,Miru,To see,Negative Form,見ない,みない,Minai,Ichidan
見る,みる,Miru,To see,Past-Negative Form,見なかった,みなかった,Minakatta,Ichidan
見る,みる,Miru,To see,Passive Form,見られる,みられる,Mirareru,Ichidan
見る,みる,Miru,To see,Causative Form,見させる,みさせる,Misaseru,Ichidan
見る,みる,Miru,To see,Causative Passive Form,見させられる,みさせられる,Misaserareru,Ichidan
見る,みる,Miru,To see,Imperative Form,見ろ,みろ,Miro,Ichidan
見る,みる,Miru,To see,BA Hypothetical Form,見れば,みれば,Mireba,Ichidan
見る,みる,Miru,To see,TARA Conditional Form,見たら,みたら,Mitara,Ichidan
見る,みる,Miru,To see,Potential Form,見られる,みられる,Mirareru,Ichidan
見る,みる,Miru,To see,Volitional Form,見よう,みよう,Miyou,Ichidan
会う,あう,Au,To meet,Polite Form,会います,あいます,Aimasu,Godan-u
会う,あう,Au,To meet,Masu Stem,会い,あい,Ai,Godan-u
会う,あう,Au,To meet,Te-Form,会って,あって,Atte,Godan-u
会う,あう,Au,To meet,Past Tense (Plain),会った,あった,Atta,Godan-u
会う,あう,Au,To meet,Continuous Form,会っている,あっている,Atteiru,Godan-u
会う,あう,Au,To meet,Negative Form,会わない,あわない,Awanai,Godan-u
会う,あう,Au,To meet,Past-Negative Form,会わなかった,あわなかった,Awanakatta,Godan-u
会う,あう,Au,To meet,Passive Form,会われる,あわれる,Awareru,Godan-u
会う,あう,Au,To meet,Causative Form,会わせる,あわせる,Awaseru,Godan-u
会う,あう,Au,To meet,Causative Passive Form,会わせられる,あわせられる,Awaserareru,Godan-u
会う,あう,Au,To meet,Imperative Form,会え,あえ,Ae,Godan-u
会う,あう,Au,To meet,BA Hypothetical Form,会えば,あえば,Aeba,Godan-u
会う,あう,Au,To meet,TARA Conditional Form,会ったら,あったら,Attara,Godan-u
会う,あう,Au,To meet,Potential Form,会える,あえる,Aeru,Godan-u
会う,あう,Au,To meet,Volitional Form,会おう,あおう,Aou,Godan-u
待つ,まつ,Matsu,To wait,Polite Form,待ちます,まちます,Machimasu,Godan-tsu
待つ,まつ,Matsu,To wait,Masu Stem,待ち,まち,Machi,Godan-tsu
待つ,まつ,Matsu,To wait,Te-Form,待って,まって,Matte,Godan-tsu
待つ,まつ,Matsu,To wait,Past Tense (Plain),待った,まった,Matta,Godan-tsu
待つ,まつ,Matsu,To wait,Continuous Form,待っている,まっている,Matteiru,Godan-tsu
待つ,まつ,Matsu,To wait,Negative Form,待たない,またない,Matanai,Godan-tsu
待つ,まつ,Matsu,To wait,Past-Negative Form,待たなかった,またなかった,Matanakatta,Godan-tsu
待つ,まつ,Matsu,To wait,Passive Form,待たれる,またれる,Matareru,Godan-tsu
待つ,まつ,Matsu,To wait,Causative Form,待たせる,またせる,Mataseru,Godan-tsu
待つ,まつ,Matsu,To wait,Causative Passive Form,待たせられる,またせられる,Mataserareru,Godan-tsu
待つ,まつ,Matsu,To wait,Imperative Form,待て,まて,Mate,Godan-tsu
待つ,まつ,Matsu,To wait,BA Hypothetical Form,待てば,まてば,Mateba,Godan-tsu
待つ,まつ,Matsu,To wait,TARA Conditional Form,待ったら,まったら,Mattara,Godan-tsu
待つ,まつ,Matsu,To wait,Potential Form,待てる,まてる,Materu,Godan-tsu
待つ,まつ,Matsu,To wait,Volitional Form,待とう,まとう,Matou,Godan-tsu
読む,よむ,Yomu,To read,Polite Form,読みます,よみます,Yomimasu,Godan-mu
読む,よむ,Yomu,To read,Masu Stem,読み,よみ,Yomi,Godan-mu
読む,よむ,Yomu,To read,Te-Form,読んで,よんで,Yonde,Godan-mu
読む,よむ,Yomu,To read,Past Tense (Plain),読んだ,よんだ,Yonda,Godan-mu
読む,よむ,Yomu,To read,Continuous Form,読んでいる,よんでいる,Yondeiru,Godan-mu
読む,よむ,Yomu,To read,Negative Form,読まない,よまない,Yomanai,Godan-mu
読む,よむ,Yomu,To read,Past-Negative Form,読まなかった,よまなかった,Yomanakatta,Godan-mu
読む,よむ,Yomu,To read,Passive Form,読まれる,よまれる,Yomareru,Godan-mu
読む,よむ,Yomu,To read,Causative Form,読ませる,よませる,Yomaseru,Godan-mu
読む,よむ,Yomu,To read,Causative Passive Form,読ませられる,よませられる,Yomaserareru,Godan-mu
読む,よむ,Yomu,To read,Imperative Form,読め,よめ,Yome,Godan-mu
読む,よむ,Yomu,To read,BA Hypothetical Form,読めば,よめば,Yomeba,Godan-mu
読む,よむ,Yomu,To read,TARA Conditional Form,読んだら,よんだら,Yondara,Godan-mu
読む,よむ,Yomu,To read,Potential Form,読める,よめる,Yomeru,Godan-mu
読む,よむ,Yomu,To read,Volitional Form,読もう,よもう,Yomou,Godan-mu
遊ぶ,あそぶ,Asobu,To play,Polite Form,遊びます,あそびます,Asobimasu,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Masu Stem,遊び,あそび,Asobi,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Te-Form,遊んで,あそんで,Asonde,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Past Tense (Plain),遊んだ,あそんだ,Asonda,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Continuous Form,遊んでいる,あそんでいる,Asondeiru,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Negative Form,遊ばない,あそばない,Asobanai,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Past-Negative Form,遊ばなかった,あそばなかった,Asobanakatta,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Passive Form,遊ばれる,あそばれる,Asobareru,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Causative Form,遊ばせる,あそばせる,Asobaseru,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Causative Passive Form,遊ばせられる,あそばせられる,Asobaserareru,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Imperative Form,遊べ,あそべ,Asobe,Godan-bu
遊ぶ,あそぶ,Asobu,To play,BA Hypothetical Form,遊べば,あそべば,Asobeba,Godan-bu
遊ぶ,あそぶ,Asobu,To play,TARA Conditional Form,遊んだら,あそんだら,Asondara,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Potential Form,遊べる,あそべる,Asoberu,Godan-bu
遊ぶ,あそぶ,Asobu,To play,Volitional Form,遊ぼう,あそぼう,Asobou,Godan-bu
書く,かく,Kaku,To write,Polite Form,書きます,かきます,Kakimasu,Godan-ku
書く,かく,Kaku,To write,Masu Stem,書き,かき,Kaki,Godan-ku
書く,かく,Kaku,To write,Te-Form,書いて,かいて,Kaite,Godan-ku
書く,かく,Kaku,To write,Past Tense (Plain),書いた,かいた,Kaita,Godan-ku
書く,かく,Kaku,To write,Continuous Form,書いている,かいている,Kaiteiru,Godan-ku
書く,かく,Kaku,To write,Negative Form,書かない,かかない,Kakanai,Godan-ku
書く,かく,Kaku,To write,Past-Negative Form,書かなかった,かかなかった,Kakanakatta,Godan-ku
書く,かく,Kaku,To write,Passive Form,書かれる,かかれる,Kakareru,Godan-ku
書く,かく,Kaku,To write,Causative Form,書かせる,かかせる,Kakaseru,Godan-ku
書く,かく,Kaku,To write,Causative Passive Form,書かせられる,かかせられる,Kakaserareru,Godan-ku
書く,かく,Kaku,To write,Imperative Form,書け,かけ,Kake,Godan-ku
書く,かく,Kaku,To write,BA Hypothetical Form,書けば,かけば,Kakeba,Godan-ku
書く,かく,Kaku,To write,TARA Conditional Form,書いたら,かいたら,Kaitara,Godan-ku
書く,かく,Kaku,To write,Potential Form,書ける,かける,Kakeru,Godan-ku
書く,かく,Kaku,To write,Volitional Form,書こう,かこう,Kakou,Godan-ku
聞く,きく,Kiku,To listen,Polite Form,聞きます,ききます,Kikimasu,Godan-ku
聞く,きく,Kiku,To listen,Masu Stem,聞き,きき,Kiki,Godan-ku
聞く,きく,Kiku,To listen,Te-Form,聞いて,きいて,Kiite,Godan-ku
聞く,きく,Kiku,To listen,Past Tense (Plain),聞いた,きいた,Kiita,Godan-ku
聞く,きく,Kiku,To listen,Continuous Form,聞いている,きいている,Kiiteiru,Godan-ku
聞く,きく,Kiku,To listen,Negative Form,聞かない,きかない,Kikanai,Godan-ku
聞く,きく,Kiku,To listen,Past-Negative Form,聞かなかった,きかなかった,Kikanakatta,Godan-ku
聞く,きく,Kiku,To listen,Passive Form,聞かれる,きかれる,Kikareru,Godan-ku
聞く,きく,Kiku,To listen,Causative Form,聞かせる,きかせる,Kikaseru,Godan-ku
聞く,きく,Kiku,To listen,Causative Passive Form,聞かせられる,きかせられる,Kikaserareru,Godan-ku
聞く,きく,Kiku,To listen,Imperative Form,聞け,きけ,Kike,Godan-ku
聞く,きく,Kiku,To listen,BA Hypothetical Form,聞けば,きけば,Kikeba,Godan-ku
聞く,きく,Kiku,To listen,TARA Conditional Form,聞いたら,きいたら,Kiitara,Godan-ku
聞く,きく,Kiku,To listen,Potential Form,聞ける,きける,Kikeru,Godan-ku
